iter	RMSE
0	0.4369783061
1	0.423906764
2	0.4121791433
3	0.4011834737
4	0.3911036951
5	0.3819898902
6	0.3728127032
7	0.3650801537
8	0.3578598134
9	0.3510652873
10	0.3444738925
11	0.3387817518
12	0.3334696447
13	0.3282350977
14	0.3238956784
15	0.3196061088
16	0.3151748566
17	0.3109992006
18	0.3075939878
19	0.3041254657
20	0.3009630309
21	0.2974612084
22	0.2940743445
23	0.2913935954
24	0.2881990258
25	0.2850688219
26	0.2827921494
27	0.2804154193
28	0.2781812196
29	0.2753218718
30	0.2732672403
31	0.2713191195
32	0.2694789283
33	0.2679276589
34	0.2662021528
35	0.264926396
36	0.2633283267
37	0.2619742019
38	0.2605183694
39	0.2589064381
40	0.2573987451
41	0.2559622471
42	0.2548061731
43	0.2537284842
44	0.2527591651
45	0.2514034721
46	0.2505050404
47	0.2493190366
48	0.2481691677
49	0.2473584946
50	0.2460586187
51	0.2450468751
52	0.2442182151
53	0.2432351496
54	0.242338139
55	0.2417028719
56	0.2411657563
57	0.2402128026
58	0.2397537815
59	0.2388154195
60	0.2381795893
61	0.2372825005
62	0.2367461928
63	0.2361485391
64	0.2352992167
65	0.2348722293
66	0.2341115767
67	0.2334683106
68	0.2327878007
69	0.2323274248
70	0.2319270022
71	0.2315961754
72	0.2311597298
73	0.230780554
74	0.2303611715
75	0.2300233667
76	0.2297726612
77	0.2292413804
78	0.2288238503
79	0.2285368689
80	0.2281097503
81	0.2278798195
82	0.2272603792
83	0.2269793303
84	0.2266087335
85	0.2262610495
86	0.2260093997
87	0.2257923138
88	0.2256131012
89	0.2250368368
90	0.2244946896
91	0.2241574305
92	0.2238060748
93	0.2235904197
94	0.2232296342
95	0.2229734273
96	0.2224762673
97	0.2220271212
98	0.2217148351
99	0.2214476987
100	0.2211614625
101	0.2209902785
102	0.2206363773
103	0.2204359377
104	0.2200970104
105	0.219803292
106	0.2196635281
107	0.2192890743
108	0.2191170717
109	0.2186818333
110	0.2184890732
111	0.2182727631
112	0.2181397675
113	0.2178419847
114	0.2176953391
115	0.2174022704
116	0.2172228328
117	0.2170560631
118	0.2168256452
119	0.2166800666
120	0.2165392008
121	0.2164115882
122	0.2162210141
123	0.2160586942
124	0.2157272922
125	0.2154640952
