Model,Features,Runtime (min),R² Score (Train),MAE (Train),RMSE (Train),R² Score (Test),MAE (Test),RMSE (Test)
CatBoost,Only Apartments - All features,2.326,0.8481010997295607,41811,61575,0.8057112770883357,46898,69319
CatBoost,Rerun - All features,3.274,0.8129699626105455,54018,77295,0.7817774037415565,57872,83015
CatBoost,All feat. + y log,1.8,0.8129699626105455,54018,77295,0.7817774037415565,57872,83015
CatBoost,RandomizedSearchCV,15.761278959115346,0.8305415806902083,52354,74602,0.7645976142877955,59791,84393
CatBoost,Optuna,6.069,0.8435129181835679,50452,71806,0.7641668478533092,59618,84453
CatBoost,Only Houses - All features,2.469,0.8074881305284941,59079,82415,0.7591489787510075,65200,91100
CatBoost,Run with Top 5 feat.,2.597,0.7844488513223555,57881,82316,0.7540446418189488,61254,87367
CatBoost,All features,1.87,0.792710175198668,54124,75141,0.7521089108476003,58514,82172
XGBoost,All features,0.09,0.8156256349147697,51231,70867,0.7415875461077879,59573,83897
LightGBM,All features,0.14,0.7635925896972594,57987,80246,0.7386412150528684,60528,84374
CatBoost,Run with Top 3 feat.,3.016,0.6591607908258712,72975,99429,0.624915488680833,76160,104107
