Model,Features,Runtime (min),R² Score (Train),MAE (Train),RMSE (Train),R² Score (Test),MAE (Test),RMSE (Test)
CatBoost,Only Apartments - All features,1.709,0.8481010997295607,0.13448758392571464,0.17585227221894392,0.8057112770883357,0.15088143774925133,0.1988815363761207
CatBoost,All feat. + y log,2.58,0.8129699626105455,0.16105274976145353,0.21224885531373605,0.7817774037415565,0.17278912736084837,0.22926593752781924
CatBoost,Rerun - All features,2.923,0.8129699626105455,0.16105274976145353,0.21224885531373605,0.7817774037415565,0.17278912736084837,0.22926593752781924
CatBoost,RandomizedSearchCV,12.41056585709254,0.8305415806902083,0.15512874862850806,0.2034111005303229,0.7645976142877955,0.17956013156246078,0.2343020677089099
CatBoost,Optuna,5.057,0.8374462758580157,0.15193606614729366,0.19922394508206878,0.7644717431375974,0.1790601618437161,0.23436470073904705
XGBoost,All feat. + y log,0.11,0.8315455871570392,0.1527646184918869,0.20143311672242786,0.771837782572405,0.17656379212752032,0.2344291111175895
LightGBM,All feat. + y log,0.1,0.7876216749443836,0.17223804901426354,0.2261750901325834,0.7672060522403858,0.17970008871235002,0.236796630874232
CatBoost,Run with Top 5 feat.,2.327,0.7844488513223555,0.17317844439277044,0.2278582969959028,0.7540446418189488,0.1836496281879483,0.24339845684754385
Random Forest,All feat. + y log,6.37,0.9644525350386057,0.06849980844558261,0.0925324356308609,0.7537672026891379,0.18239500460240687,0.24353569562174043
CatBoost,Only Houses - All features,2.061,0.8074881305284941,0.16899280009925455,0.2218276059255266,0.7591489787510075,0.1872603483064751,0.24811960576957184
CatBoost,Run with Top 3 feat.,2.337,0.6591607908258712,0.22209988450999507,0.2865262730914799,0.624915488680833,0.23190458217949741,0.30057595925894076
