Model,Features,Runtime (min),R² Score (Train),MAE (Train),RMSE (Train),R² Score (Test),MAE (Test),RMSE (Test)
CatBoost,All feat. + y log,1.69,0.7978459489348309,55616,79525,0.7714653086678618,58913,84514
XGBoost,All feat. + y log,0.07,0.8178859682144661,52789,75533,0.7621802289222597,60098,86240
LightGBM,All feat. + y log,0.07,0.7744689248932506,59099,84152,0.7563109783401234,61195,87186
CatBoost,All features,1.9,0.7779047691599169,55990,77782,0.7419981625292571,59771,83834
Random Forest,All feat. + y log,4.3,0.9626859314402751,23962,36279,0.7376513381670204,62720,89942
XGBoost,All features,0.07,0.8048167237161264,52573,72917,0.7317620908212925,60848,85481
LightGBM,All features,0.11,0.7514685624666078,59501,82281,0.7279178032947576,61836,86091
Random Forest,All features,4.26,0.9585395783726723,23664,33607,0.7076947563161913,63465,89233
Gradient Boosting,All feat. + y log,0.86,0.709714476599565,67625,96003,0.7048570588551857,68151,96546
Gradient Boosting,All features,0.81,0.6812225070000698,68381,93186,0.6733792098062983,69120,94326
KNN,All feat. + y log,0.05,0.751549576289724,61166,86038,0.6126334037429626,76435,106213
KNN,All features,0.05,0.735004163585679,61376,84963,0.589598878204185,76761,105733
Ridge,All feat. + y log,0.01,0.5549100320484002,85561,145980,0.5543134356748143,85644,147905
Linear,All feat. + y log,0.01,0.5549100322777372,85561,145983,0.5543133982550101,85644,147908
AdaBoost,All feat. + y log,0.68,0.5232960891912564,90305,129065,0.5352710590047947,88664,126362
Ridge,All features,0.01,0.5121554477126513,84503,115279,0.5114767159749181,84542,115359
Lasso,All features,0.02,0.512155447482828,84503,115279,0.5114766730419411,84542,115359
Linear,All features,0.01,0.5121554479362468,84503,115279,0.5114766719683166,84542,115359
Decision Tree,All feat. + y log,0.07,0.9985885159648864,780,6837,0.4933132438709241,85426,123709
ElasticNet,All features,0.02,0.47570731609896155,89548,119507,0.475344865295352,89573,119549
Decision Tree,All features,0.06,0.9983066239855519,781,6792,0.4274371330259721,86044,124888
AdaBoost,All features,0.43,0.25639544403867076,123639,142324,0.3016290817526943,118376,137928
Lasso,All feat. + y log,0.01,0.0,127200,169220,-2.9488431447344254e-05,127202,169222
ElasticNet,All feat. + y log,0.01,0.0,127200,169220,-2.9488431447344254e-05,127202,169222
